file_name,text,quality
calories_001.png,Energi total 140 Kkal,blur
calories_002.png,Energi Total 180 kkal,clear
calories_003.png,Energi Total / Calories 100 kkal,overlap
calories_004.png,Energi Total 110 kkal,clear
calories_005.png,Energi Total/Total Energy 120 kkal,clear
calories_006.png,Energi Total/Total Energy 120 kkal,overlap
calories_007.png,Energi Total/Total Energy 150 kkal/kcal,overlap
calories_008.png,Energi Total 160 kkal Total Energy 160 kcal,clear
calories_009.png,Energi total 30 kkal,clear
calories_010.png,Energi total 120 kkal,clear
calories_011.png,Energi total 20 KKal,clear
calories_012.png,Energi Total 110 kkal,clear
calories_013.png,Energi Total 90 kkal,clear
calories_014.png,Energi Total 50 kkal,clear
calories_015.png,Energi Total / Calories 45 kkal,clear
calories_016.png,Energi Total/ Calories 50 kkal/ Cal,blur
calories_017.png,Energi Total 90 kkal,clear
calories_018.png,Energi Total 90 Kkal,blur
calories_019.png,Energi Total : 70 kkal,clear
calories_020.png,Energi Total/Total Energy 120 kkal,overlap
calories_021.png,Energi Total/Total Energy 130 kkal,overlap
calories_022.png,Energi Total/Total Energy 90 kkal,glare
calories_023.png,Energi total 120 kkal,overlap
calories_024.png,Energi Total/ Calories 160 kkal,overlap
calories_025.png,Energi Total 130 kkal,clear
calories_026.png,EnergiTotal/Calories 150kkal,overlap
calories_027.png,Energi Total/Calories 150 kkal,overlap
calories_028.png,Energi Total/Calories 130kkal,clear
calories_029.png,Energi Total / Calories 170kkal,blur
calories_030.png,Energi total / Calories 170 kkal,blur
calories_031.png,Energi Total 80 kkal,clear
calories_032.png,Energi Total 45 Kkal,blur
calories_033.png,Energi Total / Calories 110 kkal,overlap
calories_034.png,Energi Total : 70 kkal,clear
calories_035.png,Energi Total 100 kkal,clear
calories_036.png,Energi Total : 80 kkal,overlap
calories_037.png,Energi Total : 60 kkal,overlap
calories_038.png,Energi total / Total energy 70 kkal,overlap
calories_039.png,Energi total / Total energy 70 kkal,overlap
calories_040.png,Energi total / Total energy 50 kkal,clear
calories_041.png,Energi total 140 kkal,clear
calories_042.png,Energi total / Total energy 50 kkal,overlap
calories_043.png,Energi Total 20 kkal,clear
calories_044.png,Energi Total 60 kkal,overlap
calories_045.png,Energi Total : 100 kkal,overlap
calories_046.png,Energi Total / Total Calories: 90 kkal / 90 kcal,blur
calories_047.png,Energi Total / Total Calories 110 kkal,overlap
calories_048.png,Energi Total 50 kkal,clear
calories_049.png,Energi Total 5 kkal,clear
calories_050.png,Energi Total 5 kkal,overlap
calories_051.png,Energi Total 60 kkal,clear
calories_052.png,Energi Total 60 kkal,clear
calories_053.png,Energi Total 60 kkal,glare
calories_054.png,Energi Total 5 kkal,overlap
calories_055.png,Energi total 120 kkal,overlap
calories_056.png,Energi total / Total energy 50 kkal,clear
calories_057.png,Energi Total/Calories 160 kkal,clear
calories_058.png,Energi Total 45 kkal,clear
calories_059.png,Total Calories/Energi Total 50 kkal/kcal,overlap
calories_060.png,Energi Total 60 kkal,glare
calories_061.png,Energi Total 110 kkal,clear
calories_062.png,Energi Total : 50 kkal,blur
calories_063.png,Energi Total/Total Energy 90 kkal,overlap
calories_064.png,Energi Total 100 kkal,overlap
